seed,compiled,noinline_ccmp,noinline_ndd,noinline_total,inline_ccmp,inline_ndd,inline_total,cfcmov_count
2000,1,3,3,6,4,2,6,2
2001,1,3,3,6,5,2,7,2
2002,1,3,3,6,4,2,6,2
2003,1,3,3,6,4,2,6,3
2004,1,3,3,6,4,2,6,2
2005,1,3,3,6,4,2,6,2
2006,1,3,3,6,4,2,6,2
2007,1,3,3,6,4,2,6,2
2008,1,3,3,6,4,2,6,2
2009,1,3,3,6,4,2,6,2
2010,1,3,3,6,4,2,6,2
2011,1,3,3,6,4,2,6,3
2012,1,3,3,6,4,2,6,2
2013,1,3,3,6,4,2,6,2
2014,1,3,3,6,4,2,6,2
2015,1,3,3,6,4,2,6,2
2016,1,3,3,6,4,2,6,2
2017,1,3,3,6,4,2,6,2
2018,1,3,3,6,4,2,6,2
2019,1,3,3,6,4,2,6,2
2020,1,3,3,6,4,2,6,2
2021,1,3,3,6,4,2,6,2
2022,1,3,3,6,4,2,6,2
2023,1,3,3,6,4,2,6,4
2024,1,3,3,6,4,2,6,2
2025,1,3,3,6,4,2,6,3
2026,1,3,3,6,4,4,8,11
2027,1,3,3,6,4,2,6,2
2028,1,3,3,6,4,2,6,2
2029,1,3,3,6,4,2,6,4
2030,1,3,3,6,4,2,6,2
2031,1,3,3,6,4,2,6,2
2032,1,3,3,6,4,2,6,2
2033,1,3,3,6,4,2,6,2
2034,1,3,3,6,4,2,6,2
2035,1,3,3,6,4,2,6,2
2036,1,3,3,6,4,2,6,2
2037,1,3,3,6,4,2,6,6
2038,1,3,3,6,4,2,6,2
2039,1,3,3,6,4,2,6,2
2040,1,3,3,6,4,2,6,2
2041,1,3,3,6,4,2,6,2
2042,1,3,3,6,4,2,6,2
2043,1,3,3,6,4,2,6,2
2044,1,3,3,6,4,2,6,2
2045,1,3,3,6,4,2,6,2
2046,1,3,3,6,4,2,6,2
2047,1,3,3,6,4,2,6,2
2048,1,3,3,6,5,2,7,7
2049,1,3,3,6,4,2,6,3
2050,1,3,3,6,4,2,6,2
2051,1,3,3,6,4,2,6,3
2052,1,3,3,6,4,2,6,2
2053,1,3,3,6,4,2,6,2
2054,1,3,3,6,4,2,6,2
2055,1,3,3,6,4,2,6,2
2056,1,3,3,6,4,2,6,2
2057,1,3,3,6,4,2,6,3
2058,1,3,3,6,4,2,6,2
2059,1,3,3,6,4,2,6,2
2060,1,3,3,6,4,2,6,2
2061,1,3,3,6,4,2,6,4
2062,1,3,3,6,4,2,6,2
2063,1,3,3,6,4,2,6,7
2064,1,3,3,6,4,2,6,2
2065,1,3,3,6,4,2,6,3
2066,1,3,3,6,4,2,6,2
2067,1,3,3,6,4,2,6,4
2068,1,3,3,6,4,2,6,2
2069,1,3,3,6,4,2,6,2
2070,1,3,3,6,4,2,6,2
2071,1,3,3,6,5,4,9,7
2072,1,3,3,6,4,2,6,2
2073,1,3,3,6,4,2,6,2
2074,1,3,3,6,4,2,6,3
2075,1,3,3,6,4,2,6,2
2076,1,3,3,6,4,2,6,2
2077,1,3,3,6,4,2,6,3
2078,1,3,3,6,4,2,6,2
2079,1,3,3,6,4,2,6,2
2080,1,3,3,6,4,2,6,2
2081,1,3,3,6,4,2,6,2
2082,1,3,3,6,4,2,6,2
2083,1,3,3,6,4,2,6,4
2084,1,3,3,6,4,2,6,4
2085,1,3,3,6,4,2,6,2
2086,1,3,3,6,4,2,6,2
2087,1,3,3,6,4,2,6,2
2088,1,3,3,6,4,2,6,5
